kod,komunikat,bon,płeć,wiek,tryb,rok,waznosc,Nastroj1,Nastroj2,indeks_przychylności,wynik_ogólny,nastroj_diff,Nastroj1_mapped,komunikat_mapped,Nastroj1_komunikat_congruence,Nastroj1_komunikat_congruence_abs,plec_komunikat_bon,komunikat_bon,Nastroj1_komunikat_congruence_komunikat
X158,0,0,1,24,1,4,4,2,2,2.5,2.5625,0,1,3,-2,2,k_0_0,0_0,-2_0
X159,0,0,1,27,1,4,5,2,2,4.0,2.75,0,1,3,-2,2,k_0_0,0_0,-2_0
ZRX,0,0,1,24,1,4,5,3,3,4.0,4.75,0,3,3,0,0,k_0_0,0_0,0_0
ZJJ,0,0,1,23,1,4,5,1,1,1.5,1.4375,0,1,3,-2,2,k_0_0,0_0,-2_0
X160,0,0,1,23,1,4,4,3,3,2.5,2.6875,0,3,3,0,0,k_0_0,0_0,0_0
MAP09,0,0,1,23,1,4,4,4,4,4.0,4.375,0,5,3,2,2,k_0_0,0_0,2_0
MES04,0,0,1,24,1,4,5,4,3,3.0,2.875,-1,5,3,2,2,k_0_0,0_0,2_0
X161,1,0,2,23,1,4,4,2,3,3.5,4.1875,1,1,5,-4,4,m_1_0,1_0,-4_1
X162,1,0,2,26,1,4,5,3,4,2.0,4.25,1,3,5,-2,2,m_1_0,1_0,-2_1
X163,1,0,2,23,1,4,5,2,4,4.5,4.9375,2,1,5,-4,4,m_1_0,1_0,-4_1
X164,1,0,2,22,1,4,2,5,5,2.0,2.625,0,5,5,0,0,m_1_0,1_0,0_1
X165,1,0,1,22,1,4,1,4,4,3.5,2.9375,0,5,5,0,0,k_1_0,1_0,0_1
X166,1,0,1,23,1,4,3,2,2,1.5,2.0625,0,1,5,-4,4,k_1_0,1_0,-4_1
X167,1,0,1,23,1,4,5,3,4,4.0,4.875,1,3,5,-2,2,k_1_0,1_0,-2_1
X168,1,0,1,22,1,4,5,2,3,4.0,4.375,1,1,5,-4,4,k_1_0,1_0,-4_1
X169,1,0,1,22,1,4,3,3,3,1.5,2.1875,0,3,5,-2,2,k_1_0,1_0,-2_1
X170,1,0,1,23,1,4,3,2,2,1.0,2.25,0,1,5,-4,4,k_1_0,1_0,-4_1
X171,1,0,1,23,1,4,5,3,4,4.0,4.625,1,3,5,-2,2,k_1_0,1_0,-2_1
X172,1,0,1,22,1,4,3,2,2,2.5,3.3125,0,1,5,-4,4,k_1_0,1_0,-4_1
KMG05,1,0,1,23,1,4,2,4,4,1.0,1.875,0,5,5,0,0,k_1_0,1_0,0_1
PRK03,1,0,1,26,1,4,1,3,2,2.0,2.375,-1,3,5,-2,2,k_1_0,1_0,-2_1
JLS06,1,0,1,20,1,4,1,2,2,3.0,2.875,0,1,5,-4,4,k_1_0,1_0,-4_1
IBK03,1,0,1,24,1,4,4,2,3,4.0,3.75,1,1,5,-4,4,k_1_0,1_0,-4_1
ANM09,1,0,1,22,1,4,3,4,4,4.0,4.625,0,5,5,0,0,k_1_0,1_0,0_1
X173,1,0,1,24,1,4,5,2,3,4.0,4.5,1,1,5,-4,4,k_1_0,1_0,-4_1
X174,2,0,1,26,1,4,5,3,3,4.0,4.0,0,3,1,2,2,k_2_0,2_0,2_2
MBD84,2,0,2,25,1,4,4,3,3,4.0,3.0,0,3,1,2,2,m_2_0,2_0,2_2
X175,2,0,2,21,1,4,3,4,4,4.0,3.125,0,5,1,4,4,m_2_0,2_0,4_2
X176,2,0,1,24,1,4,5,4,2,1.0,2.0,-2,5,1,4,4,k_2_0,2_0,4_2
X177,2,0,1,26,1,4,2,4,4,4.5,3.4375,0,5,1,4,4,k_2_0,2_0,4_2
X178,2,0,1,24,1,4,4,3,3,1.0,2.625,0,3,1,2,2,k_2_0,2_0,2_2
X179,2,0,1,23,1,4,5,4,2,3.5,3.3125,-2,5,1,4,4,k_2_0,2_0,4_2
X180,2,0,1,24,1,4,4,4,3,2.0,3.125,-1,5,1,4,4,k_2_0,2_0,4_2
X181,2,0,1,23,1,4,4,3,3,4.5,4.0625,0,3,1,2,2,k_2_0,2_0,2_2
X182,2,0,1,23,1,4,1,4,3,1.5,1.8125,-1,5,1,4,4,k_2_0,2_0,4_2
X183,2,0,1,21,1,4,5,4,2,3.5,3.3125,-2,5,1,4,4,k_2_0,2_0,4_2
X184,2,0,1,23,1,4,3,1,2,3.0,3.0,1,1,1,0,0,k_2_0,2_0,0_2
X185,2,0,1,22,1,4,5,3,2,3.5,3.3125,-1,3,1,2,2,k_2_0,2_0,2_2
X186,2,0,1,22,1,4,5,4,2,2.0,3.125,-2,5,1,4,4,k_2_0,2_0,4_2
X187,2,0,1,22,1,4,4,2,2,3.0,2.75,0,1,1,0,0,k_2_0,2_0,0_2
X188,2,0,1,22,1,4,5,2,3,3.0,3.25,1,1,1,0,0,k_2_0,2_0,0_2
X189,2,0,1,23,1,4,2,4,3,2.0,2.5,-1,5,1,4,4,k_2_0,2_0,4_2
MJM10,2,0,1,22,1,4,4,2,2,3.0,3.375,0,1,1,0,0,k_2_0,2_0,0_2
X190,2,0,1,22,1,4,3,2,2,3.0,3.625,0,1,1,0,0,k_2_0,2_0,0_2
X191,2,0,1,23,1,4,5,4,2,2.0,3.5,-2,5,1,4,4,k_2_0,2_0,4_2
X192,0,0,2,29,2,4,3,2,2,3.0,3.625,0,1,3,-2,2,m_0_0,0_0,-2_0
X193,0,0,2,27,2,4,4,3,3,4.0,4.625,0,3,3,0,0,m_0_0,0_0,0_0
X194,0,0,2,27,2,4,3,3,3,2.0,3.25,0,3,3,0,0,m_0_0,0_0,0_0
X195,0,0,2,40,2,4,5,4,4,4.0,4.5,0,5,3,2,2,m_0_0,0_0,2_0
X196,0,0,1,32,2,4,5,1,1,3.0,1.5,0,1,3,-2,2,k_0_0,0_0,-2_0
X197,0,0,1,30,2,4,3,3,3,3.0,4.125,0,3,3,0,0,k_0_0,0_0,0_0
X198,0,0,1,32,2,4,4,3,3,2.0,4.125,0,3,3,0,0,k_0_0,0_0,0_0
X199,0,0,1,38,2,4,4,2,2,2.0,3.5,0,1,3,-2,2,k_0_0,0_0,-2_0
X200,0,0,1,24,2,4,5,3,3,3.5,4.0625,0,3,3,0,0,k_0_0,0_0,0_0
X201,0,0,1,26,2,4,1,1,1,2.0,2.125,0,1,3,-2,2,k_0_0,0_0,-2_0
AR1999,0,0,1,23,2,4,2,2,2,1.0,1.75,0,1,3,-2,2,k_0_0,0_0,-2_0
X202,0,0,1,22,2,4,3,2,4,5.0,4.125,2,1,3,-2,2,k_0_0,0_0,-2_0
ATZ12,0,0,1,34,2,4,5,1,1,1.0,1.25,0,1,3,-2,2,k_0_0,0_0,-2_0
X203,0,0,1,33,2,4,5,3,3,4.0,4.375,0,3,3,0,0,k_0_0,0_0,0_0
MAA10,0,0,1,27,2,4,4,4,3,4.0,3.625,-1,5,3,2,2,k_0_0,0_0,2_0
DMT04,0,0,1,25,2,4,4,3,4,4.5,2.4375,1,3,3,0,0,k_0_0,0_0,0_0
AZ11,0,0,1,28,2,4,5,3,2,4.0,4.625,-1,3,3,0,0,k_0_0,0_0,0_0
AHR02,0,0,1,25,2,4,3,4,4,3.0,3.5,0,5,3,2,2,k_0_0,0_0,2_0
MKM11,0,0,1,23,2,4,3,3,2,2.0,2.375,-1,3,3,0,0,k_0_0,0_0,0_0
X205,1,0,2,42,2,4,2,2,3,2.0,3.375,1,1,5,-4,4,m_1_0,1_0,-4_1
X206,1,0,2,25,2,4,3,2,3,4.0,4.25,1,1,5,-4,4,m_1_0,1_0,-4_1
X207,1,0,2,33,2,4,4,2,3,3.5,4.3125,1,1,5,-4,4,m_1_0,1_0,-4_1
X208,1,0,2,28,2,4,5,3,4,4.0,4.625,1,3,5,-2,2,m_1_0,1_0,-2_1
KMM12,1,0,2,23,2,4,4,2,2,5.0,4.5,0,1,5,-4,4,m_1_0,1_0,-4_1
JA02,1,0,1,30,2,4,3,1,5,3.0,2.125,4,1,5,-4,4,k_1_0,1_0,-4_1
X210,1,0,1,23,2,4,5,2,2,3.0,2.5,0,1,5,-4,4,k_1_0,1_0,-4_1
